DECJ,    +61:08
RAJ,    04:18:04.2
DECJ,    -41:54:10.8
RAJ,    04:18:33.867
DECJ,    +57:32:22.91
RAJ,    04:19
DECJ,44
RAJ,    04:20:01.95
DECJ,    -50:22:48.1
RAJ,    04:26:06.813
DECJ,    +49:33:38.46
RAJ,    04:35:34
DECJ,    +27:44
RAJ,    04:37:15.896173
DECJ,    -47:15:09.11071
RAJ,    04:47
DECJ,    -04:35
RAJ,    04:49:05.67
DECJ,    -70:31:31.7
RAJ,    04:50:08.781
DECJ,    -12:48:07.10
RAJ,    04:51:50
DECJ,    -67:18
RAJ,    04:52:34.1057
DECJ,    -17:59:23.371
RAJ,    04:53:45.41368
DECJ,    +15:59:21.3063
RAJ,    04:54:07.7506
DECJ,    +55:43:41.437
RAJ,    04:55:47.55
DECJ,    -69:51:34.3
RAJ,    04:56:30
DECJ,    -69:10
RAJ,    04:56:02.5
DECJ,    -70:31:06.6
RAJ,    04:57:06
DECJ,    +23:34:00
RAJ,    04:57:07.79
DECJ,    -63:37:30.4
RAJ,    04:57:02
DECJ,    -69:46
RAJ,    04:58:37.121
DECJ,    -05:05:05.1
RAJ,    04:58:59
DECJ,    -67:43
RAJ,    05:01:06.76
DECJ,    +45:16:33.92
RAJ,    05:02:04.561
DECJ,    46:54:06.09
RAJ,    05:02:50.53
DECJ,    -66:17:58.8
RAJ,    05:09:24
DECJ,    +08:57:00
RAJ,    05:09:59
DECJ,    +38:12
RAJ,    05:11:56.50
DECJ,    -65:08:36.5
RAJ,    05:14:06.6927
DECJ,    -40:02:48.897
RAJ,    05:14:51.84
DECJ,    -44:07:06.5
RAJ,    05:17:10
DECJ,    +22:16
RAJ,    05:19
DECJ,44
RAJ,    05:20
DECJ,    +54:25
RAJ,    05:19:46.917
DECJ,    -69:32:23.48
RAJ,    05:21:44
DECJ,    -68:35
RAJ,    05:22:23.06
DECJ,    -68:47:02.2
RAJ,    05:25:56.4483
DECJ,    11:15:19.08
RAJ,    05:26:00.9
DECJ,    -66:04:36.3
RAJ,    05:28:52.264
DECJ,    +22:00:04
RAJ,    05:29:50.92
DECJ,    -66:52:38.2
RAJ,    05:32:59.51
DECJ,    -66:39:37.3
RAJ,    05:32:04
DECJ,    -69:46
RAJ,    05:33:25.82
DECJ,    04:02:00.5
RAJ,    05:33
DECJ,67
RAJ,    05:34:31.973
DECJ,    +22:00:52.06
RAJ,    05:34:36.17
DECJ,    -67:03:48.8
RAJ,    05:35:40
DECJ,    -66:52
RAJ,    05:35
DECJ,    -69:35
RAJ,    05:36:30.79
DECJ,    -75:43:56.7
RAJ,    05:37:43
DECJ,    -69:21
RAJ,    05:37:47.416
DECJ,    -69:10:19.88
RAJ,    05:38:25.0572
DECJ,    +28:17:09.161
RAJ,    05:40:37.116
DECJ,    +32:07:37.3
RAJ,    05:40:11.202
DECJ,    -69:19:54.17
RAJ,    05:40:30.8
DECJ,    -71:25:31.4
RAJ,    05:42:35
DECJ,    -68:16
RAJ,    05:43:9.660
DECJ,    23:29:05
RAJ,    05:43:52.71
DECJ,    -68:51:25.3
RAJ,    05:45
DECJ,    -03:10
RAJ,    05:46:28.76
DECJ,    +24:41:21
RAJ,    05:54:05.01
DECJ,    +31:07:41
RAJ,    05:55
DECJ,    +39:48
RAJ,    05:55:01.85
DECJ,    -70:56:45.6
RAJ,    05:57:31.44918
DECJ,    +15:50:06.046
RAJ,    06:00:46.5
DECJ,    -57:56:54
RAJ,    06:01:58.9821
DECJ,    -05:27:50.56
RAJ,    06:05
DECJ,37
RAJ,    06:08:49
DECJ,    +00:39
RAJ,    06:09:58.8861
DECJ,    +21:30:2.84
RAJ,    06:10:13.59214
DECJ,    -21:00:28.0158
RAJ,    06:11
DECJ,    +37:18
RAJ,    06:11:16
DECJ,    30:16
RAJ,    06:13:43.975503
DECJ,    -02:00:47.21147
RAJ,    06:13:12.150
DECJ,    +37:31:38.3
RAJ,    06:14:17.16
DECJ,    22:30:36
RAJ,    06:14:10.3478
DECJ,    -33:29:54.118
RAJ,    06:14
DECJ,    +83:14
RAJ,    06:21:11.221
DECJ,    +03:36:45.52
RAJ,    06:21:22.11108
DECJ,    +10:02:38.741
RAJ,    06:21
DECJ,25
RAJ,    06:22:10.51
DECJ,    +37:49:13.6
RAJ,    06:23:46.759
DECJ,    +03:40:06.8
RAJ,    06:25:45
DECJ,    +10:16
RAJ,    06:27:53.6286
DECJ,    +06:49:54.13
RAJ,    06:27:44.175
DECJ,    +07:06:33.3
RAJ,    06:27:13
DECJ,    16:12
RAJ,    06:28:36.183
DECJ,    +09:09:13.9
RAJ,    06:29:05.728
DECJ,    24:15:43.3
RAJ,    06:30:26.956
DECJ,    -00:46:05.85
RAJ,    06:30:49.404393
DECJ,    -28:34:42.77881
RAJ,    06:31:27.524
DECJ,    +10:37:02.5
RAJ,    06:33:44.21
DECJ,    +06:32:34.9
RAJ,    06:33:54.1530
DECJ,    +17:46:12.909
RAJ,    06:33:08.86
DECJ,    -20:15:07.1
RAJ,    06:35:18
DECJ,    +05:33:11
RAJ,    06:36:33.744
DECJ,    -45:49:32.62
RAJ,    06:36:04.84645
DECJ,    +51:28:59.9625
RAJ,    06:45:59.081898
DECJ,    +51:58:14.9208
RAJ,    06:46
DECJ,    +80:09
RAJ,    06:46:30.995
DECJ,    +09:05:49.3
RAJ,    06:47:15.68
DECJ,    +09:13:59.5
