    00:06:04.8,    +18:34:59
    00:07:01.7,    +73:03:07.4
    00:14:17.75,    47:46:33.4
    00:23:16.87910,    +09:23:23.871
    00:23:50.35311,    -72:04:31.4926
    00:24:13.87934,    -72:04:43.8405
    00:24:11.1036,    -72:05:20.1377
    00:24:03.8539,    -72:04:42.8065
    00:24:07.9587,    -72:04:39.6911
    00:24:06.7014,    -72:04:06.795
    00:24:07.9330,    -72:04:39.669
    00:23:59.40735,    -72:03:58.7914
    00:24:03.771,    -72:04:56.913
    00:23:54.4877,    -72:05:30.741
    00:24:09.1865,    -72:04:28.880
    00:24:04.6512,    -72:04:53.7552
    00:24:05.67,    -72:04:52.62
    00:24:16.4891,    -72:04:25.153
    00:24:05.67,    -72:04:52.62
    00:24:03.9779,    -72:04:42.342
    00:24:08.548,    -72:04:38.926
    00:24:09.8351,    -72:03:59.6760
    00:24:05.67,    -72:04:52.62
    00:24:06.07,    -72:04:49.02
    00:24:05.67,    -72:04:52.62
    00:24:05.67,    -72:04:52.62
    00:24:05.67,    -72:04:52.62
    00:26:50.561,    +63:20:00.87
    00:33,57
    00:33,61
    00:34:08.8703,    -07:21:53.409
    00:34,    +69:43
    00:45:25.69,    -70:42:07.1
    00:45:35.16,    -73:19:03.0
    00:51:30.1,    04:22:49
    00:53,    +69:39
    00:54,66
    00:54:28,    +69:26
    00:57:44.0,    -72:01:19
    00:58,    +61:25
    00:59,    +50:02
    01:00:43.03,    -72:11:33.6
    01:01:11.1163,    -64:22:30.171
    01:03,    +48:00
    01:03:37,    +54:02
    01:06:25.06,    +48:55:51.8
    01:08:08.347016,    -14:31:50.1871
    01:11:28.77,    -71:31:46.8
    01:12,    +66:22
    01:13:11.09,    -72:20:32.20
    01:26,    +62:35
    01:31:28.51,    -73:10:09.34
    01:33:32.46,    -69:57:29.68
    01:36,    +63:42
    01:37:23.88,    +16:54:42.1
    01:39:38.56,    +56:21:36.8
    01:39:19.7401,    +58:14:31.819
    01:41,    +63:08
    01:46:22.42,    +61:45:02.8
    01:47:44.6457,    +59:22:03.293
    01:51:22.701,    -06:35:02.8
    01:52:23.73,    +09:48:10
    01:52:10.8536,    -16:37:52.99
    01:58:29,    +21:08
    02:01:41.344,    +70:05:18.11
    02:05:37.92247,    +64:49:41.3343
    02:06:01.268,    -40:28:04.33
    02:11:59.0,    -81:59:36.2
    02:12:52.2,    +52:22:45
    02:14:55.2713,    +52:22:40.95
    02:18:06.358569,    +42:32:17.37515
    02:29:03,    +20:58
    02:41:46,    +16:04
    02:42:35,    +62:56:50
    02:43,    +60:27
    02:44:51,    +14:27
    02:48:18.617,    +60:21:34.72
    02:55:56.221,    -53:04:21.36
    03:04:33.115,    19:32:51.4
    03:08,    +74:00
    03:23:26.618,    39:44:52.9
    03:24:55.46,    +52:39:31.3
    03:26,    +67:49
    03:29:08.55,    +16:54:02
    03:32:59.368,    54:34:43.57
    03:32:45,    +79:10
    03:37:43.82589,    +17:15:14.828
    03:39,    +66:44
    03:40:23.28819,    +41:30:45.2903
    03:41,    +57:11
    03:43:27.94,    -30:00:27.5
    03:48:43.639000,    +04:32:11.4580
    03:57:52.5,    +32:05:25
    03:58,    +42:06
    03:58:53.7165,    54:13:13.727
    03:58,    +66:40
    04:01:51.68,    -76:08:13.8
    04:06:30.082,    +61:38:41.04
    04:07:54.939,    16:07:16.4
    04:08,55
    04:08,55
    04:10:39,    -31:07:29
    04:13,58
    04:17:43,    +35:45
    04:17,    +61:08
    04:18:04.2,    -41:54:10.8
    04:18:33.867,    +57:32:22.91
    04:19,44
    04:20:01.95,    -50:22:48.1
    04:26:06.813,    +49:33:38.46
    04:35:34,    +27:44
    04:37:15.896173,    -47:15:09.11071
    04:47,    -04:35
    04:49:05.67,    -70:31:31.7
    04:50:08.781,    -12:48:07.10
    04:51:50,    -67:18
    04:52:34.1057,    -17:59:23.371
    04:53:45.41368,    +15:59:21.3063
    04:54:07.7506,    +55:43:41.437
    04:55:47.55,    -69:51:34.3
    04:56:30,    -69:10
    04:56:02.5,    -70:31:06.6
    04:57:06,    +23:34:00
    04:57:07.79,    -63:37:30.4
    04:57:02,    -69:46
    04:58:37.121,    -05:05:05.1
    04:58:59,    -67:43
    05:01:06.76,    +45:16:33.92
    05:02:04.561,    46:54:06.09
    05:02:50.53,    -66:17:58.8
    05:09:24,    +08:57:00
    05:09:59,    +38:12
